PersonID,EntityID,LegalName,EntityType,Number,Jurisdiction,EntityGroup,AuditExemption,FiscalYearEnd,IncDate,EntityStatus
a1627e0a-9035-4a12-9ca9-179c436cf5ae,76f622d1-0488-4175-a9f9-50d71c661541,Bluezoom,Corporation,34036,Québec,,false,2021-11-12,2020-10-24,Inactive
eeee9712-fa2e-4bbf-81f1-38d2fdb02995,62fed744-05e1-484a-9710-a5b0c33f38d5,Twitterbridge,Partnership,3,British Columbia,Ace Alice Group,,2021-06-03,,Active
dd2194bd-95c3-4da0-8fdb-c85cc4ab183e,238b12d0-9200-4b92-abf4-1b98da4aeeb8,Plambee,,54798,California,Project Minute,false,,2020-06-15,Active
04e20f2c-f5ac-45e3-b3bd-b6325a3444f6,0be47cc4-6cdb-4d36-ae3f-8816f01b9611,Rhybox,Corporation,9789,Québec,Project Minute,,2021-08-28,2022-08-10,Inactive
66eeee26-7f52-4061-834f-4691b382a518,3acf0e18-d747-42a3-8ed5-9aa7c10fad98,Eadel,,914,Québec,Sloane Cooper,,2021-11-02,2022-02-03,Active
3619cf26-0e94-49d5-9bed-69a02d8158c0,92ccea3c-480a-4b85-8df5-4a545a5f272d,Yombu,,0,Québec,Project Minute,,2021-06-15,2020-09-21,Active
d56cbb4a-e9ea-4ea3-8e47-ead7c11bde16,ed099f48-2319-42d2-b4ce-76f53f770ab9,Buzzbean,Partnership,03,Alberta,Project Minute,,2021-04-15,2022-03-24,Active
b6c474fc-305c-4ab0-acc9-60e0e12a9515,44bd3d43-dc11-4fd9-8484-a3c20dc115bf,Bluejam,Corporation,581,Québec,Ace Alice Group,,2021-10-20,2021-01-21,Inactive
5359dc32-81d4-43d8-afe9-aadce1ea94bd,6573b1c1-e324-468c-857f-8b507d7ea4bb,Voomm,LLC,1,Québec,,true,2021-07-05,2020-06-14,Inactive
c45c3468-9f6e-435c-8181-fa7eeabca84e,9fa54dac-6740-4d92-8eae-ca161916d24d,Linktype,LLC,158,Alberta,,false,,2022-03-25,Active
89586d0d-d80d-42e6-95a7-71b786fbfe7f,7bb2e03c-0036-4ec0-9718-99087260b2b0,Lazzy,Corporation,6087,New York,Sloane Cooper,true,,2022-07-25,Active
12804f01-1add-48e7-933f-6487546a879a,467a9dd3-2a53-48f6-94fa-df8b00b58795,Mymm,Corporation,180,Québec,,,2021-09-04,2022-05-26,Active
bea12310-b288-46f0-b74e-91e7c9c89c69,1aca8c1c-c622-4ff4-be59-861082252f41,Dazzlesphere,,3,Ontario,Ace Alice Group,,2021-07-21,,Inactive
bbc5075c-0d80-4f51-af17-6127003f8e6f,f7d4e418-ad99-4af8-b44e-f07ac2f1d13b,Oyoloo,LLC,9558,Nova Scotia,Ace Alice Group,,2021-10-06,,Inactive
e11e1671-449e-4e58-be09-95d1cccd81bf,64e837df-0ef7-48a8-86bb-5c49d751cd94,Digitube,Corporation,7,California,,true,2021-06-29,,Active
